start	end	text
0	11120	Hey guys, it's Rob Roberts, and welcome to a special show here on our feed at OrangeloungeRadio.com.
11120	16000	It's Rob Roberts and Pals here at E3 2010, or I guess more appropriately tonight it's
16000	20520	really Rob Roberts and Pal, as I'm joined by the one and only, you heard him on this
20520	21920	last week's show, Miklotov.
21920	26320	Hello, woah, I tried to grab the mic, that didn't work out.
26320	31240	Yeah, it's been a very exhausting, very long day, and first off I want to apologize for
31240	36600	the audio quality, we are on a different little portable kit, so the audio quality sadly is
36600	40480	not quite what you're used to hearing in studio, and of course hopefully you've been listening
40480	45220	to the show the past few weeks, unfortunately Dark Sakura and Loki, due to other commitments
45220	50080	and that stuff called real life, were unable to join me at E3 this year, but boy, what
50080	55960	an E3 it's been, you know, I gotta say, so far, just even compared to being here last
55960	61280	year, I'm so much more motivated by everything I'm kind of seeing on the show for this year.
61280	64720	Miklotov, you haven't been in the show in quite some time, tell the listeners a little
64720	70400	bit about your last E3 and kind of like, what you're thinking so far about this E3.
70400	77000	The last E3 I went to was E3 2006, otherwise known as Stupid.
77000	82360	It was crowded and you couldn't get in line for anything, except for like, you could get
82360	86320	in line for the PS3 because nobody wanted to play it at that time, but like the Wii
86320	92120	was impossible to get in line for, it was hot, it was cramped, I absolutely hated it
92120	97720	really, but I kind of missed it, so, what was the other thing I'm talking about?
97720	100360	How this year is better.
100360	110920	This year is better, it's a little less crowded, this year, last year that I went to, the companies
110920	114960	were trying to outdo each other in terms of how loud they could be, but this year it's
114960	120520	more like, hey, let's just show games and not really worry about, you know, if we're
120520	127200	going to, you know, make the other booths vibrate because of how loud we are, so it's
127200	128200	nice.
128200	132120	Alright, we'll get to a little bit about the kinds of stuff we've seen on the show floor,
132120	135200	and you know, I'm kind of taking an approach with these little special shows that we're
135200	138600	doing here, that a lot of you guys that are listening to these and kind of taking the
138600	142360	time out of your day are somewhat familiar with already with what's going on at E3, so
142360	146680	I don't really want to sit here and just recap the news conferences, the most you probably
146680	147680	watch live.
147680	152080	I do know we have some casual listeners of Horizontal's Radio who might be tuning into
152080	156160	these podcasts as well, who maybe didn't watch the whole things, here's the basic stuff you
156160	157160	need to know.
157160	161320	So what, Microsoft was first yesterday, and they were basically, blah blah blah, here's
161320	165080	some games you already knew about that were coming, blah blah Gears of War 3, blah blah
165080	171160	Fable 3, one new game kind of thrown in there for you, and then, oh, hey, here's Kinect,
171160	175960	and here's all this Kinect stuff, and boy, this looks an awful lot like all the games
175960	180120	that Nintendo was first showing at E3, and for the Wii and all this, but it's high def,
180120	184360	and oh my gosh, you don't need controllers, and da da da, but most people kind of left
184360	188320	feeling a little bit disappointed, at least, you know, I'm reading Twitter, I'm reading
188320	191840	the blogs, and I have to admit, even I'm feeling a little bit disappointed with what I saw
191840	196720	at Microsoft's press conference, I'll explain my thoughts in a little bit, Shane, it sounds
196720	200880	like you were disappointed too, what was your problem with Microsoft's press conference?
200880	206120	There was nothing really surprising, and that's the best part about E3, is all the shocking
206120	211360	announcements and just the stuff that makes you want to buy these companies' products,
211360	217200	and Microsoft showed off the same stuff that they always show off, first person shooters,
217200	224040	an RPG that not many people seem to care about anymore, and then Nintendo products, and I'm
224040	228880	like, okay, well, that sucks, and I'm sure everybody in the audience thought it sucked
228880	234120	too, until they got a new 360, and then they probably hated it a little less.
234120	238520	You know, it was very interesting, that little Oprah moment that they did kind of at the
238520	242240	end there, and you get a 360, and you get a 360, and the fact that all of these new
242240	246920	Xbox 360s slim, as the internet is calling it, I don't believe Microsoft is calling it
246920	247920	that.
247920	248920	It's just the 360.
248920	252960	The slim was a term that was used with the Sony systems, and they used that, but people
252960	260280	were just carrying it over to the 360, uncorrectly, I guess you could say, but they gave all these
260280	264080	things away, and they were like, oh, yeah, they're going to be in stores this week, and
264080	267440	I don't know, I honestly was reading a lot of feedback on Twitter of people that were
267440	272400	kind of pissed off that they just bought a 360 in the past couple months, and I mean,
272400	277040	I just bought one not that long ago to replace one that had Red Ring of Death.
277040	282800	I'm not angry, per se, I just, I don't really get this new slimmed down system, and what
282800	287160	it has to offer me that the one I already have doesn't, I mean, yeah, I get it, it has
287160	292520	Wi-Fi, but I've already found a way to work around that, and you know, yeah, I get it,
292520	296360	it has the 250 gig hard drive, but I have yet to fill up the one I have.
296360	303000	I don't think this 360 slim is so much for me as it is, you know, somebody new, I guess,
303000	307600	coming on, and perhaps this whole thing where, well, it's actually, it's going to work a
307600	311440	little better with the whole connect thing, which I still keep, I'm tempted to call it
311440	315340	Natal, I don't know, but I did think it was weird that, you know, they're showing this
315340	321280	whole thing, and then they give everybody at the conference a free 360 to, you know,
321280	326040	all the viewers at home just kind of sitting there going, oh, and then maybe they're double
326040	331640	depressed because they just got a 360, not that long ago, I don't know, I apologize for
331640	335960	my voice tonight, guys, if you've been listening to Orange Lounge Radio, you know, Jamie's
335960	340920	been pretty sick lately, and I think I caught whatever she had, so yeah, there's that.
340920	347200	Anyhow, that was Microsoft in a nutshell, so going over to Nintendo this morning, Nintendo
347200	351960	in a nutshell was basically, you know, Reggie comes out on stage, here's the new Wii game,
351960	356200	and here's the new Wii game, and here's the new Wii game, and here's the new Wii game,
356200	360080	don't you ever talk bad about my system again.
360080	364960	And now here's Iwata to talk about 3DS a little bit, and most people were actually pretty
364960	371520	blown away by the Nintendo press conference, I think they were very much improved, certainly
371520	377020	over years past, I think in watching what they did this year, where Reggie really came
377020	382520	out, it was just like game, game, game, game, I really felt like he was doing what everybody
382520	386880	wanted him to do a couple years ago, what'd you think about the press conference itself,
386880	387880	Shay?
387880	393080	Well, I think it started off really poorly, it started off like a Nintendo press conference,
393080	401000	where they feel like they can show just games for the casual market, and then nobody else
401000	407560	matters, but then they brought out like Epic Mickey, and then randomly Donkey Kong Country,
407560	416080	and that was cool, and then they stole the show, their own show I guess, with the 3DS,
416080	424160	and that was amazing, though it didn't dawn on me till just now, no vitality sensor whatsoever,
424160	426720	so that's kind of funny.
426720	430220	It is very interesting some of the things they ended up not showing out, the Wii Relax
430220	434220	just disappeared, it's vanished, it's not even to be seen on the show floor, I guess
434220	438520	it's just chilling out somewhere else, and then Sony's press conference happened, and
438520	442280	then admittedly I did not watch this one because we were already out on the show floor at this
442280	450520	time, Bobby was not able to join us tonight, he's out at a party or something, I only kind
450520	453800	of read about this on the internet, but the general gist I'm getting is that people were
453800	460860	kind of like, oh okay, yeah, games, yeah, okay, PlayStation Move, yeah, we all know
460860	465040	you had to come out with a motion controller at some point, oh, here's Kevin Butler, oh
465040	470120	we like him, motivational speech, oh that guy's so funny, yay, and more PlayStation
470120	475520	Move, wait, how much does this fucking thing cost, you gotta be kidding me, oh okay, well
475520	481680	at least we finally have a date for Gran Turismo 5, and oh Twisted Metal, and oh, hey, Valve
481680	486200	is acknowledging the PlayStation 3 now, I guess that's kind of cool, but also might
486200	490240	explain the whole reason why the Portal 2 event got cancelled and then subsequently
490240	494480	delayed, because remember that event was supposed to happen Sunday night, well if the big reveal
494480	500680	was that Portal 2 was actually gonna be this whole big PlayStation 3 thing, then you must
500680	505840	kind of see that all those talks and what have you must have just come to pass within
505840	511400	the past couple weeks, you know, when this event got planned and then subsequently cancelled,
511400	515800	because this Sony PS3 stuff must have literally just happened within the past couple weeks,
515800	518280	I don't know, Shane, I know you didn't get to really see it either, but did you have
518280	521600	anything you wanted to say about Sony's press conference?
521600	528920	I was once again kind of disappointed, because I was really hoping for some shocking titles
528920	533200	that people would care about, like, I don't know, a new Uncharted would have been nice,
533200	541760	a new Jak and Daxter, that's not that move heroes game, but I think the most interesting
541760	547720	thing definitely was the Valve on PS3, because you have to wonder how much money Sony threw
547720	554520	at them to have Steam on PS3 and not on 360, and does that mean we'll get Left 4 Dead on
554520	559560	PS3, does that mean we'll get all of those nice Valve games on PS3 now?
559560	565920	It is very interesting how Sony is kind of inching closer and closer to this PC thing,
565920	571000	maybe it really is a computer after all, you know, with the announcement of Steam now,
571000	574800	and then, you know, Final Fantasy XIV is a PC, PS3 title, we've heard about things like
574800	580240	DC Universe Online, which was supposed to be between PS3 and PC, yeah, and that's on
580240	582680	the show floor, sadly we haven't seen it yet.
582680	585700	So I said I wasn't going to talk you off about press conferences, but yeah, there we go,
585700	589040	we kind of ran down them real quick, I hope that wasn't too much for you, but what we
589040	593000	really wanted to talk about here on the show is, you know, I know a lot of you guys at
593000	597360	OLR are watching a lot of this on TV and listening to the other podcasts and reading the news
597360	600880	sites, but we want to tell you a little bit about like, you know, our perspective, what
600880	605940	we kind of saw on the show floor today, what we played, which today sadly wasn't a lot,
605940	611320	we spent a lot of time standing in line.
611320	615560	We started the show today, we decided we were going to make a dash to see the 3DS as fast
615560	618800	as possible, because we didn't have an appointment, and we just thought, you know what, we'll
618800	622480	just stand on the line, and if we go there right when the show starts, we won't have
622480	623840	to wait very long.
623840	628260	So right at noon, we get through the doors, and you know, considering we had been standing
628260	633160	outside the doors for about 30 minutes beforehand, we had a pretty good spot, and we got in there
633160	638640	and already the booth was kind of around the corner of the line, so we said, forget it,
638640	639640	we'll get in line anyway.
639640	648000	Well, after about two hours, I would say we maybe moved, we barely moved at all, we maybe
648000	653960	moved about 100 people in line in like a couple of hours, it just felt like they were not
653960	658040	burning through people at all, and we were starting to get worried because we had a 3.30
658040	659040	appointment.
659040	663760	Well thankfully, a hero saved the day, and thanks to some connections Shane has, we were
663760	669120	able to actually end up getting to see the 3DS a little bit early, so while we are very
669120	675200	thankful to Shane's connections and so forth, you know, it was awesome to get to see the
675200	679120	3DS and I'll let Shane talk about it a little bit here, but I just kind of, I did feel really
679120	683400	bad for everybody else in line, you know, I mean like, I did and I didn't, I had another
683400	688700	appointment I had to get to, you know, and so forth, but I just, I felt Nintendo really
688700	691800	should have been moving that line a lot quicker.
691800	695360	I don't know, Shane, anything about the line?
695360	703080	Well, as is standard with Nintendo lines, it was far too long, and poorly managed, and
703080	709640	I don't know if that's Nintendo's fault, or the people they hired to stand and guard the
709640	717000	lines, but it was pretty awful, it's to be expected though, but yeah, we really have
717000	724240	to give a big thanks to JC for helping us out there, letting us see the system and make
724240	732040	our appointment on time, he's awesome, he should be, you know, president of the company.
732040	737360	Yeah, so big thanks, but you know, again, I just, in future years, I would really like
737360	742380	to see them, I think at least kind of tell people what the estimated wait time is going
742380	746620	to be, so that people, yeah, like a Disney ride or something, seriously, epic wait times
746620	751200	or something, you know, show us a realistic, because you know, all these people, it's not
751200	756620	like people just showed up to the party, you know, everybody here did have to qualify,
756620	760840	maybe it wasn't as media, but everybody is tied to the industry somehow, and you know,
760840	766440	a lot of these people have friends back home, and I mean, it is kind of sad sometimes how
766440	771920	much the media just really gets to kind of walk all over E3, and I do realize, I do realize
771920	775880	this is a press event, it's a trade show and so forth, and those are the people that have
775880	780960	priority, but you know, we live in a day and age where, you know, Andy Warhol said everybody
780960	784960	gets their 15 minutes, you know, we've got a podcast, and you know, but lots of people
784960	788680	have their YouTubes and their blogs and so forth, and I just think, you know, there's
788680	793120	probably going to be a lot of negative word of mouth about that line, but I guess the
793120	795040	question would be, did it pay off?
795040	798960	You know, when we got up there, what was the 3DS like?
798960	802920	I'll let Shane kind of talk about the 3DS a little bit.
802920	807480	The 3DS is the second coming of handhelds by far.
807480	813920	I was kind of enthused to go see it today, had my reservations, but once I got up there,
813920	822440	got to pick up the system, first thing we saw on it was a demo for Animal Crossing 3DS.
822440	824760	I was sold.
824760	834800	The 3D screen is only the top screen, and it's just amazing looking, it's sharp, it
834800	844560	looks like, you know, there's depth back there behind, gosh I'm so tired, the screen just
844560	850000	has all this depth going in the back, and you can adjust the slider on the side to make
850000	856920	it not 3D, bring it back down to 2D, I don't know, for me, I used to hate 3D movies and
856920	864240	all that, but now that I've seen the 3DS in action, it is a remarkable little system.
864240	869800	I'm not even sad about the screen size, I have a DSi XL, and I swore I would never go
869800	877440	back down to a smaller screen, but it's no big deal on the 3DS.
877440	881960	You know, I was very skeptical about this system, because I have not been a fan of everything
881960	887960	very much shifting to 3D recently, especially the movies, I don't have a good time because
887960	892920	it kind of hurts my eyes and so forth, and so I kind of get bothered when I see how everything
892920	898080	is going 3D, but you know what, I'll tell you what, the 3DS was a pretty good looking
898080	902080	system, and I was a little worried at first, because when I first opened that thing up,
902080	906480	and I played Animal Crossing first, well we didn't get to really play it, it was a lot,
906480	911000	just so you guys know, there was a lot of concept videos basically, it's like we were
911000	917220	watching a live rendering or whatever of Animal Crossing, or Mario Kart was another one, or
917220	921720	there was a few that they had, you didn't really get to play them, but it gave you a
921720	924860	really good idea of what the games would look like on the system.
924860	928160	But Animal Crossing was the first thing I saw too, and I was like, you know when I first
928160	932240	opened it up and looked at it, I was like, oh it's very similar to that stereoscopic
932240	937080	effect like during Avatar, oh this is going to hurt my eyes, and I don't know about this,
937080	941800	but then the gal pointed out you could use the slider to adjust, and sure enough, if
941800	947580	I turned it down about, pardon my voice everybody, sorry, this is a video game, podcast guy's
947580	954420	worst nightmare during E3, but if you turn that slider down about a quarter of the way,
954420	959320	it was perfect, and it didn't bother my eyes anymore, you know, maybe I didn't have the
959320	964440	same amount of depth that Shane had, but I was able to get that 3D effect enough where
964440	969540	something like Mario Kart looked pretty awesome with that whole 3D.
