start	end	text
0	9920	Hi everybody, it's Rob Roberts again here at E3 for a little special show for our feed
9920	10920	here.
10920	12920	Rob Roberts and Pals at E3.
12920	18400	It's the Wednesday edition or the second day of E3 although that's somewhat of a fib because
18400	21000	it's technically Thursday right now as we tape this.
21000	25420	It's after 1230 in the morning so it's even later than we taped last night but you'll
25420	29120	notice my voice at least is doing a little better today so that's a good thing.
29120	32280	So I hopefully won't be straining as bad as I was yesterday.
32280	36120	Anyhow, let's get right into the show and talk about some of the things we saw today.
36120	40240	We don't have a lot of news for you guys or anything because I'm sure a lot of you guys
40240	41520	have been reading the different websites.
41520	44920	We talked a lot about what the press conferences were all about yesterday but we just want
44920	48240	to tell you about our perspective on some of the things we tried and some of the things
48240	49240	we got our hands on.
49240	53640	I know a lot of our listeners have come to want to know what we think of some of the
53640	55660	games we get to get our hands on.
55660	59100	So I'll tell you a little bit about my experience in a little bit but we want to catch up with
59100	64440	definitely a pal of Orange Lounge Radio, somebody who's been a supporter of our show for a very
64440	65440	long time.
65440	66440	We try to support him too.
66440	70640	The one and only, straight out of Atlanta, Bobby Blackwolf is here.
70640	72040	Woooo, that's me.
72040	73540	How you doing?
73540	79960	So I wasn't able to be a part of the show last night because I was getting drunk and
79960	83800	attempting to Rick Roll the entire Bethesda party and failed.
83800	84800	It was very terrible.
84800	89080	It was the low point of my E3 when they turned off the karaoke at 1am and I was one step
89080	93120	the song away from Rick Rolling everybody.
93120	95280	That's my biggest disappointment of E3.
95280	98920	But I do have to throw this in though.
98920	103600	He may not have gotten to Rick Roll everybody but if you do want to see his awesome Night
103600	107920	of Fire routine, it's like all over Twitter right now so check that out.
107920	111280	Yeah, we're getting to that.
111280	118500	I do want to say that I was a part of the Activision saying, hey we didn't have to pay
118500	124320	that bonus to Infinity Ward, let's throw a party event, which was, you've probably read
124320	130500	about it and seen it, it's the 6 million dollar party they threw in the Staples Center on
130500	139460	Monday night showcasing just four games, DJ Hero 2, Guitar Hero, Warriors of Rock, True
139460	146840	Crime Hong Kong, and Call of Duty Black Ops with some cheap performers like Usher and
146840	155400	Jane's Addiction and Soundgarden and this guy named Eminem with Rihanna and a stripper.
155400	156960	I love Eminem's.
156960	159600	Yes, I only want the red and black ones.
159600	165300	But the highlight obviously was the pole dancer, I'm not going to say stripper because she
165300	172680	didn't strip, but the pole dancer, they lowered a pole from the rafters of the Staples Center
172680	178200	and she literally went probably about halfway up, which is like to the club seats on this
178200	182640	pole and hanging upside down and all that stuff, she stole the show.
182640	190360	So yeah, 6 million dollars and on top of that they gave us free beer.
190360	194260	Well clearly they had to bring in a pole dancer because the video game industry is so dominated
194260	196680	by women and gay men.
196680	205600	Exactly, but to me that was the biggest F you to the former Infinity Ward guys because
205600	208300	that was probably their bonus that they spent.
208300	213100	But hey, let me tell you guys this, you have never witnessed a video game trailer until
213100	216840	you see it with full pyrotechnics all around you.
216840	222200	The Call of Duty trailer is the same one you've probably seen online except they decided that
222200	226880	it was going to, instead of the music being canned, they actually did have a full orchestra
226880	231040	down in the pit playing the music for the trailer because the conductor was up on stage
231040	232040	and I'm like, what is he conducting?
232040	234760	Oh, there's an orchestra down there because that was far in the back.
234760	239400	And then like halfway through, you know, just one big pyrotechnic like with explosion on
239400	243680	the screen, pyrotechnics went around and I was like, oh that's cool, they did some pyrotechnics.
243680	247600	And then every explosion for the rest of the trailer had either pyrotechnics or firecrackers
247600	252640	from the top and that was the way to experience a trailer.
252640	255840	I'm still not going to play Call of Duty Black Ops.
255840	258980	Is it possible that maybe they didn't just do it as like kind of like, you know, spend
258980	262520	all that bonus money that, you know, they were supposed to pay out but that maybe they
262520	266400	sold the booth on eBay as well because I noticed their booth is nowhere to be found.
266400	270680	So I think maybe they sold all the parts of the booth and that may be paid for like the
270680	273720	Dom Pérignon that Eminem needed backstage.
273720	275800	Yeah, probably.
275800	276800	They do have a presence.
276800	278240	I mean they've got a place.
278240	280560	They've got some meeting rooms.
280560	285280	Basically what they're doing is that, you know, by appointment you can go in and basically
285280	289840	they have these little rooms where you get a 30-minute demo of the game and sometimes
289840	292700	hands-on and that's where they're showing all their games.
292700	296840	But it's by appointment only and they like it a lot better because it's not as hectic
296840	298440	and loud and stuff.
298440	303680	So I did get to actually go in and see Guitar Hero, Warriors of Rock.
303680	306960	I have not been able to see Rock Band yet so don't ask me which one's better.
306960	310360	But you know, kind of going into games and this is, you know, this was actually one of
310360	313040	the most recent things I saw as well.
313040	319800	It's Guitar Hero but they showed us the Quest Mode which is, it's not Career Mode, it's
319800	325040	Quest Mode now and it actually brings a little bit of, you know, it gives you a different
325040	329280	reason to go through the song list other than I want to unlock all these songs.
329280	333160	And then they showed the Quick Play Plus Mode which to me kind of scratched my eye because
