start	end	text
0	19840	Tonight, June 7th, 2011, we kick off our live E3 coverage with press conference reactions
19840	31800	and special correspondents Bobby Blackwolf and Miek LaTov in LA on the show floor.
31800	35520	Hello my friends out there on the internet and happy E3 to you all.
35520	38320	I know there's been a lot of news this week.
38320	40360	Welcome to our special E3 coverage.
40360	43000	We're going to be live tonight and tomorrow night.
43000	46000	That's Tuesday and Wednesday, 7 o'clock Pacific.
46000	47000	Little different this week.
47000	49680	We're on Ustream, checking out a new place to stream the show.
49680	53440	To those of you that are brand new to Orange Lounge Radio, welcome.
53440	56640	If you found this through Ustream or what have you or some of the other referrals, which
56640	59440	we'll talk about in a little bit, welcome to our little show.
59440	65000	We are the show where every gamer has a voice and boy, here's a lot of voices about what's
65000	71160	been talked about from Microsoft, Sony, Nintendo, to Lezarec, Stadia and Ubisoft, but there's
71160	74560	just a lot, a lot of talk today and we're going to get right into it, but I need to
74560	76300	introduce everybody on the panel.
76300	79640	First off, my name is Rob Roberts, sometimes known as Sky, and I'll be joining you with
79640	80680	my co-host.
80680	83320	Say hello to the one and only Dark Sakura, Jamie Summers.
83320	84320	Meaty.
84320	85320	How are you?
85320	86320	Meaty.
86320	87320	Feeling fresh and meaty.
87320	88320	Meaty.
88320	89320	All right.
89320	91200	And say hello to the one and only, and I'm so happy he can make it here tonight, Techmaster
91200	92200	Loki.
92200	93200	Hi.
93200	96560	We were a little worried that Techmaster Loki wouldn't be here tonight because of family
96560	98760	commitments, but here he is.
98760	99760	Screw the family.
99760	100760	No, just kidding.
100760	101760	I hope Nelly's not listening.
101760	102760	No, no, no.
102760	103760	All right, good.
103760	107920	Welcome to you, and we're going to ask you about Nintendo in just a little bit.
107920	110920	Also joining us, we've got other people joining us, we're going to have the one and only Bobby
110920	112680	Black Wolf from the Bobby Black Wolf Show.
112680	117240	He usually does a show right before us on our normal live shows Sunday night.
117240	122240	Of course, we're live every Sunday night at All Games Radio, www.allgames.com, and more
122240	125200	information about all of that is at our website, orangesongsradio.com.
125200	128680	Bobby Black Wolf is in LA at E3.
128680	130840	He will be joining us momentarily to talk about it.
130840	132880	He has played the Wii U.
132880	134480	We're going to talk all about that in a little while.
134480	137240	I want to introduce somebody else here in studio, though.
137240	138240	Dan the Man is joining us.
138240	139240	Hello.
139240	140240	He's on the show tonight.
140240	141240	What a pleasant surprise.
141240	142240	How are you, Dan?
142240	143240	I'm good.
143240	144240	Awesome.
144240	145240	So, E3.
145240	149400	I wish I was there.
149400	151880	We're going to get into all of the press conferences and so forth.
151880	153000	Let me just start with this.
153000	157960	Before I plug everything and do the usual plugs, let me... What is one word on your
157960	166120	mind right now that if E3 right now can just boil down to one word, what is that word right
166120	167120	now?
167120	168120	Dan?
168120	169120	Underwhelming.
169120	170120	Underwhelming.
170120	171120	Loki?
171120	172120	Huh.
172120	173120	All right.
173120	174120	Dark Sakura.
174120	175120	What?
175120	176120	I'm going to say third party.
176120	177120	That's two words.
177120	178120	No.
178120	179120	Cheater.
179120	180120	All right.
180120	181120	Fine.
181120	182120	Third.
182120	183120	That's my word.
183120	184120	All right.
184120	190240	I want to also plug our chat room.
190240	192120	We are the show where every gamer has a voice.
192120	195520	We will be taking your calls a little later in the show on our toll-free number as well
195520	198120	as Skype at Orange Lounge Radio, but not just yet.
