start	end	text
0	21080	Tonight, June 3, 2012, rumored new Wii U functionality is revealed, details emerge on the next Skyrim
21080	31640	expansion, and Apple answers rumors about an Apple console.
31640	35160	Hello my friends out there on the internet and welcome back to another week of the show
35160	39360	where every gamer has a voice, Orange Lounge Radio.
39360	43640	My name is Rob Roberts and I'll be joining you over the next couple hours with my co-hosts.
43640	46760	First off, the one, the only, Dark Soccer, Jamie Summers.
46760	48400	Yo, dog, what up?
48400	49880	How you doin'?
49880	53120	Um, I'm full of curry.
53120	55520	Hurry hurry hurry, get your rice and curry.
55520	56520	It was really good.
56520	58480	It was Thai, not Indian, thank you.
58480	59800	Nerds out there will know that song.
59800	63520	Alright, also joining us tonight, say hello to Tech Master, Loki.
63520	64520	Hi.
64520	65520	How are you doing, Loki?
65520	66520	I'm doing fine.
66520	67520	Alright.
67520	69520	Now, tonight's a little bit different of a show.
69520	75080	Usually I would introduce our chat room at vognetwork.com, but unfortunately we, well,
75080	80480	I mean, fortunately and unfortunately we are taping in advance of Sunday night, so if you're
80480	84660	listening to this live on Sunday night at the VOG Network, congrats, you're hearing the
84660	91080	premiere of this episode, but we're actually taping here on Thursday, May the 31st.
91080	94200	So a little disclaimer before we get into the news too much tonight, especially with
94200	99480	all the E3 stuff starting to come out, things may have changed between the night we taped
99480	101800	this and the night you guys hear it.
101800	103280	Why did we do that this week?
103280	106880	Well, as I mentioned on last week's show, I'm going to be out of town, therefore the
106880	110880	OLR studio will be closed that night and Loki really wants a night to sit at home and play
110880	112800	Minecraft all night uninterrupted.
112800	117400	Well, it's not uninterrupted, but it'll be longer than a few hours.
117400	118400	There you go.
118400	119960	So Minecraft all day Sunday.
119960	122280	My God, it's getting bad.
122280	126280	You were telling me before the show, just now you've cheated even worse in Minecraft
126280	127280	360, right?
127280	129000	I wouldn't even really consider it cheating.
129000	132400	Exploiting, stretching the limits of the rules.
132400	136400	It is cheating, but I mean, really when you think about it, it's just, I've basically
136400	137400	enabled God mode.
137400	144760	I've rigged it so that the health is so high that I don't die, but it's really, it's for
144760	149440	the poor programming of the game because like for example, the future updates and stuff,
149440	154120	when you're digging underground, you know, if there's lava, you know, one brick away
154120	157920	from where you're digging, you don't in this game.
157920	160880	So you're digging all of a sudden, Oh crap, lava killing me.
160880	164920	Yeah, the first tip I got about playing Minecraft is never dig straight down.
164920	166640	Well, I wasn't digging straight down.
166640	172520	I was digging straight forward and then all of a sudden I hit a block and lava flow dead.
172520	174520	I was like, thanks.
174520	176280	All right.
176280	180600	Anyhow, we'll talk more about our gaming weeks in a little bit, but first, as I mentioned,
180600	182920	we are getting into E3 week.
182920	187760	Finally it's uh, it's here a little strange E3 for us here at orange launch radio this
187760	188760	year.
188760	192040	And you know, as I'm sure a lot of you guys know, E3 kind of scaled back on the amount
192040	196480	of people they invite and OLR is not exactly on the guest list anymore.
196480	199880	So um, you know, we're just trying to make the best of it and uh, I'm going to Disneyland
199880	200880	instead.
200880	201880	LOL.
201880	205680	Uh, but I think a Loki dark soccer, you guys may or may not be watching it at home.
205680	208240	Loki, you still took the time off from work, so you kind of watch it, right?
208240	212200	I didn't take any time off work, but I'll still be watching it.
212200	215640	But technically it's related to your job so you can kind of get away with it.
215640	216640	Yeah.
216640	217640	And because I'm awesome like that.
217640	220120	I kind of think that my work is more interesting.
220120	225360	Well, this year especially, you know, I, I'm, I'm feeling a little eh about E3 this year.
225360	229120	I mean, maybe I'll be pleasantly surprised and to go into it with low expectations is
229120	230720	probably a good place to be.
230720	236600	But you know, um, I think Bobby put it best, Bobby Black Wolf, of course, the man who you
236600	239160	hear before us on Sunday nights at VOG network.
239160	247180	Um, he said, you know, if I had to miss my first E3 in, I think he said it was 16 years
247180	248180	I think.
248180	249180	15, 16 years.
249180	250680	I probably got that wrong.
250680	253560	Um, it, this is probably a good one to miss.
253560	256800	Why do you think the bar is so low this year?
256800	259320	I mean, we do have a new, I mean, everybody's saying, well, there's no new consoles.
259320	260320	Well, there is.
260320	261560	I mean, there is the Wii U.
261560	265880	I mean, is, is excitement really that low about Wii U or what?
265880	270400	I don't think the Wii U is doing enough different to make it like, Ooh, wow.
270400	273360	It's not like the graphics are like, Whoa, that much better.
273360	277640	Or you know, Whoa, this is a totally new technology, you know, way of controlling things.
277640	285200	It's basically, Hey, look, we took, we made a big DS minus other minus a D.
285200	287480	But isn't this a good place for Nintendo to be though?
287480	289540	I mean, I know that sounds really weird.
289540	294300	Like you, you know, nobody likes the negative buzz and obviously E3 kind of left them with
294300	298740	a very meh feeling, a lot of people walking out of the Wii U, but I mean, when the bar
298740	303280	is low, they really have the potential to exceed expectations.
303280	304280	True.
304280	307880	And well, with what they're doing right now, the technology seems to be more familiar to
307880	308880	the developers.
308880	313640	So they're able to port stuff over that, you know, the PlayStation 3 and Xbox 360 are getting.
313640	317920	I don't know how that's going to look when the new systems come out, but you know, that's
317920	319160	still a ways off.
319160	321720	For a whole year, they'll be on the cutting edge.
321720	325880	And even still, you know, even those new systems, you remember the very first, you know, games
325880	330100	are coming out in the, you know, Xbox 360 and the PlayStation 3 just kind of look like
330100	337160	a Brezzed PlayStation 2 and Xbox games, so it's not always, you know, the biggest, best
337160	341720	looking, well definitely never the best looking games at launch, it's just, you know, ways
341720	342720	after that.
342720	343720	All right.
343720	347680	So quickly, I know we kind of talked about this a little more in depth a couple weeks
347680	351240	ago, so I don't want to dwell on this topic too long, but since this is our last chance
351240	356860	before E3 officially hits and the press conferences start, what are your final predictions out
356860	357860	of E3?
357860	359760	One prediction each for the big three.
359760	362200	What are your final big predictions out of E3?
362200	363200	Loki?
363200	364200	Or Dark Sakura?
364200	367480	Um, that I'll be asleep when they're made.
367480	373560	Do you, well let me ask you, Darkside, do you have any interest in Wii U at all?
373560	374560	Not really.
374560	375560	Why not?
375560	376560	I don't know.
376560	383280	I mean, really, I'm just, my apathy is kind of overwhelming about it because I'm, I mean,
383280	386660	we'll probably get one, I guess.
386660	394220	It's just, I'm really getting to the point that a lot of big hype about stuff just makes
394220	396080	me not care.
396080	397920	I don't, I don't want to speculate.
397920	400080	I just want to see it when it's out.
400080	402880	Because when you say you're apathetic and you don't care, it makes me think that Nintendo's
402880	406140	just not doing anything to excite you, that there's nothing that's happening there that
406140	408360	you go, oh, this is new and fascinating.
408360	409660	They're really not.
409660	412900	The technology isn't anything new.
412900	414480	We've got touchscreen stuff.
414480	415480	We've got tablets.
415480	420920	You know, using a tablet, they've had that interactivity from a handheld before when
420920	426680	they had the game link with the GBA.
426680	428880	So it's nothing really new.
428880	433280	It's them just saying, oh, well, we're making a part of the Wii now.
433280	434760	I'm not really excited about it.
434760	439920	I don't, I'm not going to be excited until I actually sit down and see it.
439920	444600	And granted, I feel somewhat similar, but I'm hoping to be pleasantly surprised.
444600	450040	I'm really hoping there's that one game that I've got to have, but we'll see.
450040	453460	Loki, predictions for the big three?
453460	458360	I don't really know what Nintendo's, just based on what they've rumored to be coming
458360	462840	out in the new Mario game, New Super Mario Bros. me, which I think is what it's supposed
462840	463840	to be.
463840	468720	I was just like, I'm, seriously, that does not appeal to me at all.
468720	470400	New Super Mario Bros. didn't ever appeal to me.
470400	471400	I mean, I understand.
471400	477240	Well, one of the DS was pretty cool, and then the Wii one came out, and then number two's
477240	479480	coming out, and they all look the same.
479480	482680	It's just, I don't care.
482680	489420	I wish, I don't know, I wish it would do something innovative, like take one of those franchises
489420	494680	like Mario or Zelda and do like a little big planet thing with it.
494680	499240	You know, have this fucking amazing level editor with it and just, you could even make
499240	505440	it like an old, you know, the 16-bit Zelda, like do that, re-release that and have this
505440	508840	fucking amazing level editor where you can share it online and stuff like that.
508840	513720	I'm gonna bring you back, because this isn't a prediction, this is wank.
513720	517440	This is what you want to see, this isn't what you're gonna see.
517440	524640	I'm prepared to be completely underwhelmed by Nintendo, that's my prediction, that they'll
524640	528960	talk about all this wonderful stuff that the Wii U can do, and it'll be just these stupid
528960	536680	games that, hey look, it's WWE 13, but with this extra feature, oh hey look, it's Darksiders
536680	542560	2, but this extra feature, oh hey look, it's Batman Arkham City that came out last year,
