start	end	text
0	2000	Orange Lounge Radio
7000	12000	With your hosts, DarkSakura, Skie, and Loki
13000	20000	This week we don't have a script, but we do have a lead. John Cena's gonna kick ass and chew bubblegum. But he's all out of gum.
20000	27000	This is just one story on tonight's show. Stay tuned for this, generational upgrades and plenty more news starting right now on the show where every gamer has a voice.
27000	30000	Orange Lounge Radio
31000	37000	Well hello once again everybody out there on the internet and welcome back to another week of the show where every gamer has a voice.
37000	45000	Orange Lounge Radio. Not live tonight with episode number 724 for this April the 1st of 2018.
45000	52000	And that is no joke. No joke here at OLR tonight, but it is gonna be a little bit of Orange Lounge Radio unplugged.
52000	56000	I'll get to that in a minute, but first I have to go around and introduce everybody.
56000	64000	Myself, I'm Rob Roberts or on Twitter at Skie, S-K-I-E, joined as always by my co-hosts say hello to DarkSakura or Jamie Summers.
64000	66000	Orange Dead Radio
66000	68000	Orange Dead, yes cause we're not live.
68000	70000	Exactly. Dead. I like that.
70000	71000	Dead Lounge Radio.
71000	74000	That would be the Halloween episode or episode 666 which we already did.
74000	76000	Yeah.
76000	78000	We hit the point where we've already passed episode 666.
78000	80000	We're beyond evil.
80000	82000	Beyond good and evil.
82000	85000	What would be the next big episode number?
85000	87000	777, the lucky sevens.
87000	89000	I guess so. I guess so. We'll be looking forward to that.
89000	91000	We've already had episode gonanami.
91000	94000	Yeah, I know. I know. They've all happened.
94000	97000	Anyway, also here tonight, of course, Techmaster Loki.
97000	99000	Hello.
99000	100000	Hi, Loki. How are you?
100000	101000	I'm fine.
101000	106000	Good. Alright, I'm gonna just ask you right at the top because I know somewhere out there, even though we're not live tonight, we don't have our chatters.
106000	112000	We don't have anything going on, which is weird. It's like a piece of us is missing tonight, but that's why it's OLR unplugged.
112000	118000	But I know if we did have the chat room going, Tigerclaw would be lighting it up going, Ready Player One, Ready Player One, Ready Player One.
118000	123000	I saw it. I saw it. Did you see it? Did you see it? So, Loki, I'm sure you had to go see it.
123000	125000	I had to go see it. It was awesome.
125000	127000	You didn't see it, right? Because I didn't see it.
127000	128000	No.
128000	129000	Alright, I didn't think so.
129000	130000	We were gonna go see it, right?
130000	137000	We can. He wanted to go tomorrow. I'm supposed to play Pokemon Go with Shane tomorrow, but I don't know how into that he is.
137000	139000	I'm gonna go be a drag nun, so.
139000	140000	Tomorrow? I thought it was Sunday.
140000	142000	I'm leaving Sunday because I'm staying with JD.
142000	144000	Oh, well tell that kid I said hi.
144000	145000	I will.
145000	147000	Alright, anyway, if he's not listening to this, then hi.
147000	149000	But JD's gonna have to put up with all of that makeup.
149000	152000	The bathroom's gonna be white by the time I'm done.
152000	155000	Girl, like it's the first time. Alright, anyway.
155000	159000	So alright, Ready Player One, the Loki review, and go.
159000	162000	Well, I mean, I really liked it. I knew I was gonna like it.
162000	163000	Of course you were.
163000	167000	And it didn't let me down. I thought, you know, if we're gonna say, you know, video game movies.
167000	175000	I think it did, um, there was definitely a lot of video game stuff in the movie. That's for sure.
175000	178000	I mean, cameos like crazy of everything.
178000	182000	Just, um, and I think it's just really well done.
182000	186000	I like how they incorporated a lot of even like Street Fighter was in there.
186000	188000	Um, they incorporated some of that stuff.
188000	193000	Um, you know, I like the changes that they made against the book and stuff.
193000	197000	Some people had issues with that. But honestly, if you're gonna do it exactly like the book.
197000	200000	Some of that would have been really boring to watch.
200000	204000	And that would have been something like if you were gonna stretch this out to like three movies or something.
204000	205000	That you could have probably done that.
205000	207000	But I kinda like how they did everything.
207000	212000	Let's, they have like, the thing that you see in the trailers all the time, like the big brace for the copper key.
212000	217000	Like that sequence right there, it's done with no music whatsoever.
217000	219000	It's just all sound effects.
219000	223000	And like, I couldn't stop grinning. It was just so fucking awesome.
223000	225000	Like Tron awesome? Cause that sounds like something out of Tron.
225000	229000	It was just like, just non-stop action.
229000	233000	Just non-stop, just crazy shit going on.
233000	237000	So I know the movie got like overall good on Rotten Tomatoes.
237000	241000	It seems like the feeling I'm getting on social media is kind of like, it's okay.
241000	244000	Yeah, it's like the book. It's like the book.
244000	245000	I mean, that's kinda like what it is.
245000	248000	The book was just, I liked the book. I really liked the book.
248000	255000	But some, you know, my wife who's more sophisticated when it comes to reading, didn't really care for it.
255000	257000	Because it's just kind of, it's like trivia about it.
257000	263000	It's like, the way I saw it compared to like, hey, you remember this? Hey, you remember that? Hey, you remember this?
263000	268000	It wasn't so much that in this. I mean, there was some things.
268000	272000	But they really kinda toned that down from the book.
273000	277000	I don't know, just like, I don't understand why this gets picked apart.
277000	284000	But like something like, Rampage the movie, you know, it's just, they expect it to be shit.
284000	285000	Did Rampage come out?
285000	286000	Yes, it's already out.
286000	287000	Oh, I'm...
287000	292000	No, no, no, no, I'm sorry. No, no, you're right. It's not out yet. It's coming out in a few weeks.
292000	294000	I haven't been paying attention.
294000	295000	Tomb Raider's out.
295000	297000	Yeah, Tomb Raider's out. They're putting it out a little bit.
297000	298000	Which didn't suck, but wasn't great.
298000	300000	Same thing. It was okay.
300000	303000	I think, I mean, this is just, it's a really excellent thing.
303000	307000	It's kind of, they have like, you know, not to get too much into spoilers and stuff,
307000	313000	but like the main guy Sorento in this, he wants to take over the Oasis because he wants to monetize it.
313000	315000	It's just like the fucking AAA industry.
315000	316000	He wants to mind it.
316000	317000	We're gonna put ads everywhere.
317000	320000	Like, they're talking about like, oh, hey, this is your VR view or whatever.
320000	325000	Sorry, I just have to say, even when I'm not live, the Google thing gets in the way. Sorry.
325000	326000	That's three weeks in a row, man.
326000	332000	Sorry, guys. God, I can't, I can't escape the Google chat noise sneaking onto the show.
332000	341000	So like they have like, you know, he's like, yeah, we figured out that it's gonna, we can fill up 82% of the viewers,
341000	346000	you know, field of view before they start having seizures is what they're gonna do.
346000	349000	And it's kind of like, yeah, that's kind of like where the industry is going.
349000	354000	So I was kind of neat to like tie in a little bit of like some of the, you know, current stuff.
354000	357000	Let me ask this real quick, though, like how many, since it is a gaming show, how many like,
357000	359000	is there a lot of video game references?
359000	363000	Like all over the, just all the time, just all over the fucking place.
363000	365000	So as a gamer, you felt very like fulfilled?
365000	366000	Yes, it's very fulfilling.
366000	371000	And like, even if you're not so much a gamer, so there's a, there's plenty of references to it.
371000	372000	It's not necessarily reference.
372000	377000	I would call them like cameos and like they incorporate a lot of stuff in there that's from different things.
377000	380000	The rendered characters look like they were straight out of a Final Fantasy game, though.
380000	383000	There's, well, I didn't see any Final Fantasy characters.
383000	390000	And I mean, granted, the last battle, the last battle scene, like you can't see everything.
390000	395000	Like it's just, there's so much going on that you're going to miss a ton of stuff.
395000	399000	But like there was, I remember spawn was in there, which is awesome.
399000	402000	I did see a cameo of Robocop in there at some point.
402000	407000	Apparently at the end of the, that the last charge you kind of see in the trailer,
407000	412000	they do have, you know, like Tracer and stuff from Overwatch, the Battletoads.
412000	415000	And apparently the Power Rangers are in there as well, like charging.
415000	421000	So I don't know. And then like the last like battle, which is kind of out of the book,
421000	428000	it's just, it's like, I don't want to spoil anything, but it's just like, dude, with that combination, you can't.
428000	431000	An orgy, an orgy of pop culture references.
431000	434000	And the end of the battle, Mr. Rogers in a bloodstain sweater.
434000	436000	Oh God, I hope that would, movie of the decade.
436000	439000	The ultimate showdown of ultimate destiny. Remember that, right?
439000	440000	Yes. Yes.
440000	441000	That's what it sounds like.
441000	442000	It's great.
442000	452000	No, but it's pretty awesome. And like, I like even like Sorrento's like avatar kind of looks like this bulked up evil Superman type guy,
452000	457000	which I don't know if he was like supposed to be like that, but he sort of looked like a Superman type guy.
457000	460000	Every time you say Sorrento, I think of Sargento and what pizza.
461000	463000	Pasta sauce. Do they make pasta sauce?
463000	465000	Yeah. Pasta sauce and cheese. They make cheese.
465000	472000	It was a good movie. I liked it. Um, there was, I don't know, there's not really much I could really pick apart about it.
472000	476000	I mean, it was definitely different than the book because they don't really,
476000	480000	well, the big part of the book was like you found the key and then you have to find the gate.
480000	483000	And so there was like a challenge to get to the gate as well.
483000	487000	This is more like you found the key. Okay, now here, open the gate. You know, it's like the gate's right there.
487000	490000	And then the gate's just to get a clue for the next thing.
490000	494000	You know, it's so they don't really kind of address that too much.
494000	498000	Um, but I liked it. I thought it was a great movie. It's definitely worth seeing.
498000	503000	And I saw it, I saw it in 3D and in the D box with the motion seats and stuff. That was fucking awesome.
503000	507000	I forget the motion box is the thing cause I haven't seen a single movie and that's just Tron.
507000	513000	Tron was eight years ago, or like seven and a half. It was, oh my God, I can't believe how like long ago that was.
513000	515000	Anyway, uh, we do want to get into the rest of the show tonight.
515000	522000	Um, before we get too far though, let me tell you what's going on in case you have somehow missed this announcement in previous episodes.
522000	524000	So maybe it's your first Orange Lounge Radio. You never know.
524000	528000	Uh, there's people that find us through friends or other methods every week, so hi.
528000	533000	Uh, it's a little different tonight. This is Orange Lounge Radio unplugged because we are not live.
533000	538000	We usually are live every Sunday night at 6 o'clock Pacific, 9 o'clock Eastern at the Voice Geeks Network.
538000	541000	vog.network.com right after the Bobby Black Wolf show.
541000	546000	But this week, April 1st, a little bit different because it's also Easter.
546000	549000	And so we all have Easter family plans, actually.
549000	553000	Even though mine are in the morning, you guys are in the evening and, you know, Jamie's all the way out in San Francisco.
553000	556000	So it's just not going to gel together on April 1st.
556000	558000	I'm going to have a very, very gay Easter.
558000	563000	That's, I'm kind of jealous. Anyway, um, so, uh, but here's the thing.
563000	568000	Usually we would just take the night off, but we just had last Sunday off because my fault, I was out of town.
568000	572000	Well, really Bobby Black Wolf's fault because he had to go and get married.
572000	574000	But I will say, I'm sure-
574000	575000	It's so overrated.
575000	581000	I'm sure this is going to come up on his show because, um, I'm still going to do the call live on Sunday and I'm sure it'll get brought up.
581000	585000	But I do want to just, you know, again, congratulate Bobby and Jennifer Black Wolf on their, on their wedding.
585000	589000	And, uh, yes, there were lots of great nerdy references in it.
589000	592000	Uh, walk down the aisle to the theme from Final Fantasy.
592000	593000	Cool.
593000	595000	Uh, I remember Kingdom Hearts came up too at some point.
595000	600000	Other nerdy things like Star Wars and like Weird Al kicked off the, the dance.
