start	end	text
0	7000	Orange Lounge Radio
7000	27000	There's your hosts, DarkSakura, Skie, and Loki!
27000	32000	Orange Lounge Radio
32000	37000	Hello, my friends out there on the internet, and welcome back to another week of the show where every gamer has a voice.
37000	42000	It is Orange Lounge Radio, not live tonight for a special bonus stage episode,
42000	48000	but this is the episode that will be airing at our Twitch channel on March the 1st of 2020.
48000	51000	So happy March! We're kind of fast-forwarding in time.
51000	56000	We're doing the time warp again with myself, Rob Roberts, and over there, DarkSakura or Jamie Summers.
56000	60000	Hi. Hi, how are you? My brain is pulp.
60000	65000	I know, we all had to work today. Usually when we do this show, we don't have to work, like, earlier in the day, but today we had to work.
65000	70000	I'm in the middle of training. Oh, fun! That's my job. Sort of.
70000	75000	It's so funny that, like, because I normally work 4x10, and I'm working 5x8 this week,
75000	79000	I'm only three days in, and I'm more tired than I would have been on a normal work day.
79000	83000	I'm hoping at some point I can switch my schedule to 4x10, because that's a thing we're allowed to do,
83000	87000	but just, you know, it hasn't logistically made sense yet.
87000	91000	But I at least wore my death metal shirt today, which was awesome.
91000	95000	Awesome. Alright, and also say hello to TechMasterLoki. Hello.
95000	99000	Who's dressed up in a little button-down shirt like me? I have a gamer shirt under it.
99000	104000	I do that too. I wear a lot of gamer shirts, except I don't remember what I have on today.
104000	109000	I think it's just a plain one, but a lot of times I wear gamer t-shirts and stuff underneath.
110000	114000	Okay, there you go. So we're all, I know you can't see it unless you're on our Twitch channel.
114000	119000	You just happen to be there Sunday night, because we do usually tape live Sunday nights at 6 o'clock Pacific,
119000	125000	9 o'clock Eastern, right after Bobby Black Wolf at the Voice of Geeks Network, twitch.tv slash vognetwork,
125000	131000	also available at vognetwork.com. Our next live show, we will return on March 15th.
131000	136000	But I, how dare I, I booked a cruise, as I've been saying on the show for the past few weeks,
136000	142000	so I'm going to be gone for a little bit. And I think, Jamie, you said you're going to a sister's thing one of these nights as well, right?
142000	146000	I thought that was a thing. Maybe I made that up. No, that's in April. Okay, well.
146000	152000	But I might be going to a GDC after party. Well, there you go. Oh, so GDC is still happening.
152000	156000	I've been hearing in the news this week that more and more companies are back. I think it's more stats.
156000	159000	I'm just going to go to the parties, but it's a Sony party, so I don't know if that got cancelled.
159000	165000	But I got a confirmation about it today. It's like the LGBT inclusion party.
165000	171000	Cool. And no, it's sponsored by Microsoft. Never mind. But that's that's quite the mix up, my friend.
171000	178000	I can't brain. I have the Lurgy. It was the it was the Nintendo PlayStation box.
178000	183000	I used up all my logic, learning logic. It's fine. It's fine. Anyway, where was I?
183000	190000	I went on a tangent. I was talking about how Loki and I kind of look different on the feed today just because we're kind of we're doing this right after work.
190000	194000	So it's like any different. Well, no, because you're the voice. You're the voice off camera.
194000	199000	You're the mystery. But I'm actually not wearing anything different than what I would normally wear anyway, because my work doesn't have a dress code.
199000	204000	Yeah, you're you're well, we OK. We legit do not have a dress.
204000	208000	It says in our H.R. that there is no dress code.
208000	213000	Well, the dress code where I'm at is basically make good choices. But here's what it's really about.
213000	219000	I'm wearing slightly nicer clothes because I can't wear anything that is going to go on the cruise with us.
219000	224000	So like my jeans, I can't wear. So I have to wear like the nice because we're not going to the tropics.
224000	229000	I'm not bringing this as much as I like this button up. Sure. It's one of my favorites. Not taking this all the way to the Bahamas.
229000	236000	So I'm kind of wearing these clothes now because the other ones are starting to where we're actually packing, not the night before.
236000	241000	I'm very proud of Alan and I. We've already started the packing process. So, yeah.
241000	245000	So some of my clothes are already packed, basically. So otherwise I would wear like jeans or something more.
245000	250000	I think I owe exactly three button ups and two of them are flannel. But you got one on now is a flannel.
250000	254000	Yeah, that's good. All right. Anyway, enough about fashion.
254000	261000	Let's talk about video games because we are going to talk about some of the things that have happened so far in this week.
261000	268000	We're about halfway through the week when we're taping this show. But again, this show is going to air on Twitch on March 1st.
268000	274000	So some big things may have happened, but it may not have happened yet at the night we're taping this.
274000	281000	So if we missed a headline or two, we'll catch up on all the big stories when we return live on March 15th over on Twitch.
281000	288000	But for now, let's talk about one of the bigger stories that's happened so far this week and it has to do with Xbox Series X, a Microsoft story.
288000	293000	Microsoft actually put out a new blog post that's teasing some more features.
293000	298000	It's starting to tease a little more about what's really inside it and so forth.
298000	306000	So for example, I think this is actually a new confirmation, 12 teraflops of GPU performance.
306000	310000	Of course, I have no idea. How does one measure a teraflop?
310000	311000	I don't know.
311000	315000	Five hundred thirty-five thousand floppy minutes? I don't know.
315000	320000	It's a processor. It's how fast it processes information, but I don't know.
320000	322000	You said you saw some post earlier.
322000	329000	There was someone that was posting something saying it was about as powerful as 165 Gamecubes or something like that.
329000	333000	And they had like a picture, like a graphic of Gamecubes taped together.
333000	338000	But it still wasn't as powerful as it. It was like close. It was like twelve something.
338000	345000	So you can maybe run 164 different windows with Smash Brothers Melee on it, but not 165.
345000	346000	That's too many.
346000	350000	165 Gamecubes, that's like the size of the original Xbox.
351000	355000	So they are saying four times more powerful than the Xbox One.
355000	360000	And it's got some pretty nice specs in it.
360000	368000	Yeah, NVMe SSD, which we kind of knew about the SSD already, which is going to help speed up load times.
368000	372000	Although I'm also hearing that the SSD, because I was seeing a different story,
372000	380000	kind of a somewhat unrelated story about how Sony is struggling with cost issues on the PlayStation 5.
380000	385000	Now obviously nothing's confirmed. This is all like rumor stuff from investor forecasters and things like that.
385000	390000	But apparently the SSD supply issue is something that's coming into question.
390000	399000	And I don't know if that's related to COVID or if that's because of just certain technological parts kind of go in and out of demand.
399000	402000	Like remember when everybody was buying up the graphic cards for fucking Bitcoin?
402000	405000	Yeah, all that stuff. So I don't know if the SSD is something like that.
405000	406000	They're popular.
406000	413000	Yeah, perhaps. But anyway, so Xbox Series X is planning to have the NVMe SSD.
413000	424000	Now what also was very interesting and probably one of the highlights of the post that people were spreading around was their technology, if you want, called Smart Delivery.
424000	425000	That's how they're branding it.
425000	434000	And so Smart Delivery is you buy the game once and you play the best version possible either on the Series X or the Xbox One.
434000	441000	So for example, Halo Infinite. Let's say you're not ready to buy Xbox Series X because maybe it's going to be an expensive console.
441000	451000	And usually, especially when this last generation of games wasn't readily backwards compatible, Xbox One got there eventually.
451000	457000	But remember it launched when Phil Spencer wasn't CEO. It launched without backwards compatibility and it never came to PlayStation 4.
457000	463000	So right now there's a lot of mindset out there that if you buy a console, you don't get to play your old games again.
463000	466000	Or, well, I'm going to wait and just buy this on a new console.
466000	476000	It's kind of going to be changing the way of thinking because now if I'm not ready to buy the Xbox Series X yet, but I buy Halo Infinite now for my Xbox One,
476000	483000	I'll be able to play it on Xbox Series X. Not only just play the same version, but play the enhanced version.
483000	486000	Yeah, I've got to wonder if that's going to go away at some point.
486000	493000	I don't think so because honestly, this is how it kind of should work because that's how PCs.
493000	498000	This has been a strong argument in favor of PCs. You upgrade your graphics card and your game plays better.
498000	507000	But eventually, game performance, like PCs, eventually that lower end keeps going up and up and up.
507000	512000	I see, so eventually the game can't really be made for Xbox One anymore.
512000	513000	Yes.
513000	518000	Well, I wonder if that's where they're going to start, and they haven't said this yet, but I wonder if that's where they're going to start relying on cloud.
518000	522000	So this game doesn't run on the Xbox One, but we'll run it through the cloud.
522000	523000	Maybe.
523000	526000	And I wonder if that's the ultimate answer we end up with for Microsoft.
526000	528000	Maybe by the time we get to that point, you know.
528000	535000	Smart, they are also saying it's not necessarily going to be for every title. They can only really guarantee it for their titles.
535000	544000	So the company says Smart Delivery will be standard for Xbox Game Studio titles, and it'll be available for third party developers to implement.
544000	550000	I believe Cyberpunk has already come out and said they will be one of those games that supports the Smart Delivery.
550000	553000	So some third parties are already getting on this, but it's not guaranteed.
553000	557000	And I especially imagine in the indie universe it might be a little trickier.
557000	559000	You know, I don't know how...
559000	566000	Well, and also some of those might not necessarily be making an enhanced version as well, so it might be easier for them, who knows.
566000	567000	Very true.
567000	576000	Some other features they're talking about with Xbox Series X, they want to do a quick resume capability, which will let you jump back into multiple titles from where you left off.
576000	580000	Now you can kind of do this right now on Xbox One and PlayStation 4, they're kind of the same.
580000	581000	And Switch.
581000	583000	Oh yeah, and Switch, right?
583000	591000	Well, where my brain goes on PlayStation 4 is it's really good with multitasking one game and a TV service.
591000	595000	So for example, I've been mentioning on the show the past couple of weeks I've been playing a lot of No Man's Sky, right?
595000	605000	Well, what I might do is when I'm sick of playing No Man's Sky and I just want to veg on the couch and surf my phone, maybe I'll switch to Twitch and I'll watch one of my streamer buddies on Twitch.
605000	615000	Well, then when I go back to No Man's Sky, I pick up right where I left off. It picks up the suspend, so it doesn't have to reload my save file, because the save files take a long time to load in that game.
615000	619000	So I go right back to where I left off, which is kind of nice.
619000	629000	So imagine you could do that, but with multiple games. Like you have your Halo is suspended here, your Cyberpunk is suspended here, Ori is suspended here, you can kind of go back and forth.
629000	631000	That's kind of neat.
631000	640000	I don't think it's a game changer, but it's kind of one of those, again, well, when you minimize a window in Windows or Mac, whatever, but I say Windows because Microsoft does Windows.
640000	642000	I see more and more cross.
642000	650000	I mean, I just hope it works better than loading multiple games at one time because that usually tanks performance because you have multiple games running at the same time.
650000	651000	True, very true.
651000	660000	But, I mean, it's not a deal breaker if it didn't work like that. My expectation is as long as it works like it does now, then that's fine.
660000	672000	And then one other thing that they talked about in the blog post is Dynamic Latency Input, or DLI, inside the wireless controller to reduce the delay between the buttons you're pressing and what appears on the screen.
672000	684000	So what they're trying to do is basically make the connection between the Bluetooth controller that you use and the TV instantaneous, basically, which I don't feel like it's really been a problem.
684000	688000	You can play music games on wireless controllers and it's fine.
688000	692000	You might have to adjust the timing or whatever, but it's usually pretty good.
692000	697000	So I wonder if they are trying to narrow that down, though, to help with the cloud.
697000	702000	I imagine it's not something that's going to be as noticeable in your living room as it will be for the cloud.
702000	709000	Because, again, in my limited use of Google Stadia, although I've played a few things, it finally ran out.
709000	712000	So I don't have Google Stadia Pro anymore. It ran out, right?
712000	719000	I didn't re-up it for three more months, which, by the way, you're automatically subscribed when you sign up for it.
719000	725000	So turn it off. You don't have to talk to anybody or call anybody. You just have to go in and turn it off, or it's going to re-sub.
725000	729000	And it might have already done that for you. Just check, unless you want to keep it.
729000	735000	But anyway, with Stadia, I've played things like Thumper, which is kind of a music horror game, I believe they describe it as, right?
735000	742000	It plays fine, which is the most impressive part of Stadia's technology in many ways, is that there really is an input lag.
742000	750000	So I wonder if this is kind of part of that as well. So it's neat, and it sounds like a cool direction for Microsoft.
750000	760000	And that's really all I have to say about these updates. But what I think is also notable about all of this is that it's keeping Microsoft's name out there.
760000	767000	It's getting the blog posts written about them and so forth. And on the other side, Sony, still kind of a question mark.
767000	773000	Which I don't think is the end of the world. I really feel like we were doing the same song and dance.
773000	775000	Who wants to do a song and dance?
775000	777000	That's a very different show.
777000	778000	Some people are into that.
778000	782000	Stay tuned. Late nights at ball game work. Just kidding. We don't want to get banned from Twitch.
782000	788000	But the same old song and dance when it was the Nintendo Switch, because I'm almost positive.
788000	792000	We were like, when's Nintendo going to show it? When are they going to fucking show it?
792000	798000	Like, are they ever going to announce this goddamn thing? And then they finally did, like, six weeks before it came out.
798000	801000	And it was, they didn't have a problem.
801000	802000	Yeah.
802000	809000	And Sony has followed in the path of Nintendo on a couple things. I would say the Nintendo Directs being one of them.
809000	816000	And changing their E3 strategy. Although we know Nintendo still does E3, they don't do conferences at E3 anymore.
816000	825000	So do you think they'll announce after Microsoft, like, especially when Microsoft announces price points and stuff, just to kind of like undercut them?
825000	831000	I do think Sony's waiting to hear the price because now this is a rumor.
831000	842000	But the rumor is that when that E3 happened all those years ago, when, you know, Sony basically punched Xbox in the kidney after, you know, their performance.
842000	846000	And undercut them by $100 and had all those videos about that.
846000	852000	The rumor is that Sony had three presentations ready to go at three different prices.
852000	859000	And they were waiting for Microsoft to reveal theirs before they revealed, because, and they, it was the night, the next day.
859000	862000	So it was like Microsoft did like Monday or whatever, and Sony was on Tuesday.
862000	868000	So once they heard Microsoft's price, they made a decision Tuesday morning, this is the price, and they went with that presentation.
868000	870000	But they had three presentations ready to go.
870000	875000	One was $100 higher and the other was $100 lower. I don't know how that would have played out, but yeah.
875000	877000	So, interesting, huh?
877000	886000	Anyway, that is a rumor, but it's one of those, if we want to, on this very special bonus episode of Orange Lawn's radio, as much as I hate what this has turned into,
886000	895000	if we want to bring back the plausibility scale for a night, the fact that Sony had three different presentations ready to go and they picked after Microsoft went,
895000	899000	I would give a mostly green light on the plausibility scale.
899000	900000	What about you?
900000	902000	Yeah. Yeah, it's plausible.
902000	909000	Yeah. And I, so the fact that maybe they're making a similar type of game of chicken, of wait and see, I think is very possible.
909000	917000	Especially because Microsoft has now committed themselves, essentially, to revealing the price and all of the details at E3.
917000	923000	Sony hasn't. And all this stuff about Sony's going to do an event in February, Sony's going to do an event in March,
923000	929000	it's either off of what Sony has done before, which I know is ironic because we literally just use the plausibility scale.
929000	933000	They could still do that and talk about the system, but not announce the price.
933000	935000	That's very true. That's very true. They could.
935000	939000	They could do something like this where they just talk about it does this and this and this.
939000	945000	And yes, it does look like a giant U-shaped, or I guess they're saying a V for five in Roman.
945000	949000	Do you think it's, that's, I mean, y'all have seen the dev kits, right?
949000	954000	They're like, I would hope it's sleeker looking than that, because that, that thing looks like ridiculous.
954000	959000	That thing looks like a beast. Just put it in, just like, it doesn't need the U-shape.
959000	964000	Just put it in a PC tower case, like make it like with LEDs and stuff on it.
964000	969000	Put a big, like, it just looks weird, but that, that's a dev kit.
969000	973000	So, you know, no, I know we shouldn't, we can't base anything off the dev kit, but you have to wonder, you have to,
974000	978000	you do have to wonder because like, why shape the dev kill? Like that's weird too.
978000	983000	Like dev kits are usually in like a PC tower case. So it's like, you know,
983000	987000	Sony could get us to shut the fuck up about this by just showing us the console,
989000	994000	but that's, that's what, that's what the next few months are going to be like until it's going to be a giant boomerang,
994000	997000	like the boomerang controller for the PlayStation three that never happened.
997000	1001000	Oh my God. Look, I forgot about those, the boomerang controller.
1001000	1003000	Those things are actually kind of cool.
1003000	1004000	The Batarang.
1004000	1006000	The Batarang. Do you remember those dark soccer? They're at that one E3.
1006000	1007000	They looked uncomfortable.
1007000	1012000	They did, but they were kind of rad. Like I was like, I could, I could fuck up the Riddler with one of these.
1013000	1014000	Yeah, probably.
1014000	1019000	That's cool. Bring hashtag, bring back the Batarang for a PlayStation five.
1019000	1022000	Although we already know it's going to be like the same damn controller, but with, you know,
1022000	1028000	it sounds like maybe the haptic feedback type of thing, which is cool. I mean, in the reality that is probably the better solution.
1029000	1034000	So, um, yeah, I, uh, it's going to be interesting to see Sony make their counter move,
1034000	1046000	but I think one thing we should all kind of be ready for is that they might not like Sony really could wait until after E3 to launch.
1047000	1051000	Well, they can't, obviously they can't go that far, but they can go up to like maybe two months before.
1051000	1056000	I don't know. Do you know this from having been on the other side, the retail, the retail distribution side of things?
1056000	1062000	I mean, I know the industry is much different from when you were in it, but like how much lead time does a big distributor need for like,
1062000	1063000	Oh, I got to put hardware on my shelf.
1063000	1065000	Oh, they don't tell us until the very end.
1065000	1066000	Okay.
1066000	1070000	Until they've already made their announcement most of the time, unless you're a big retailer.
1070000	1075000	Um, but I've like, I had conversations with this one, I don't remember like the details of it, but there,
1075000	1080000	it was all the way back to the Sega Genesis launch or maybe his master system,
1080000	1088000	but they're talking about like, he was on the product launch team for that and talking about like how they came up with the starter pack thing that they had or something like that.
1088000	1095000	And how, like literally the announcement was like a banner on the roof or something like that of, you know, Sega, but he's talking about all the craziness behind that.
1095000	1099000	So then sometimes they don't really know what the plan is going to be until they do the plan.
1099000	1105000	Um, you know, kind of going back to the three presentation theory there, but.
1106000	1112000	Yeah, like, well, you know, small distributors and you're not going to get heads up because they know that shit gonna leak.
1112000	1119000	So of course they're not telling anybody until they make the announcement, then they'll send you the details if you're lucky.
1119000	1126000	So, but so at the end of the day, if Sony send you like the skews to set it up or whatever, but that's about it.
1126000	1133000	If Sony wanted to wait till July or August to announce the console, it's not going to hurt them in the long run.
1133000	1134000	Nope.
1134000	1139000	So that's a reality we should, especially like in August, when you have, I don't know if they're going to games com still.
1139000	1144000	So, you know, games com would be a really good time for them to pull the curtain back on it.
1144000	1145000	Yeah, you're right.
1145000	1152000	They're going to, I would say, I would say games com is when you're going to get a beefy amount of information.
1152000	1153000	Yeah. Yeah.
1153000	1154000	Well, yeah.
1154000	1158000	And by then, hopefully you'll have more third parties announcing titles for the PlayStation five as well.
1158000	1161000	And we could get something at GDC.
1162000	1167000	Sony has done GDC announcements before PlayStation home. Wasn't VR.
1167000	1169000	PlayStation VR was a GDC announcement, wasn't it?
1169000	1170000	I don't remember.
1170000	1175000	They have, and usually they've been or move or one of the things was like a GDC announcement.
1175000	1178000	I would be curious about the next PlayStation VR as well.
1178000	1185000	It is possible by the time we do our next show, or even by the time people are hearing this because of GDC, they may have said some stuff.
1185000	1186000	So we'll see.
1186000	1187000	They're waiting.
1187000	1188000	And we're going to sound real stupid.
1188000	1189000	They're waiting.
1189000	1190000	They're waiting for us to go on breakthrough.
1190000	1197000	Now that's all the things do it now, now, now, now nobody listens to him, but it's still, we're going to fuck him over anyways.
1198000	1199000	I love it.
1199000	1200000	So we'll see.
1200000	1201000	Stay tuned.
1201000	1203000	Uh, but if it's, if it's a little more time, then it's a little more time.
1203000	1211000	I didn't want to mention though, like, cause usually when you have, um, consoles launch and stuff that the hardware that they put in them is kind of like current gen hardware.
1211000	1218000	But what's kind of neat though about that, our DNA, uh, GPU is that it is the brand new architecture that hasn't even launched yet.
1218000	1224000	So that's like new, new, new cutting edge, new for like the, uh, GPU, which is pretty awesome.
1224000	1225000	Huh.
1225000	1226000	That is cool.
1226000	1227000	All right.
1227000	1231000	Well, let's move on and talk about things, uh, not so new, but maybe a little new.
1231000	1233000	It's the types of games we've been playing this week.
1233000	1236000	So let's talk a little bit about our gaming weeks.
1236000	1237000	Dark Sakura.
1237000	1239000	How was your gaming week so far?
1239000	1241000	Lots of ghosts and goblins.
1241000	1242000	Cool.
1242000	1250000	And then the usual cell phone stuff.
1250000	1255000	I really have been just so brain dead with all the stuff that I have going on right now.
1255000	1263000	However, I did do something kind of gaming related that maybe the listeners will hear before too long.
1263000	1264000	You can talk about it.
1264000	1265000	It's fine.
1265000	1268000	Well, I worked on a theme song for the show.
1268000	1269000	Yeah.
1269000	1274000	Well, I was supposed to be paying attention in my class today.
1274000	1280000	So there's, yeah, I've heard the draft of a Dark Sakura created theme song and it's, it's good.
1280000	1285000	Like it's, you know, it's, um, yeah, we gotta, we gotta just, you know, the timing.
1285000	1286000	Yeah.
1286000	1287000	Yeah.
1287000	1288000	I'm excited for everybody to hear it.
1288000	1289000	So stay tuned.
1289000	1290000	And then poking a couple of somebodies.
1290000	1291000	Yes.
1291000	1292000	Yes.
1292000	1296000	Obviously voiceover guy, Jason will still be here to do the voiceovers every week, but
1296000	1301000	we need a new voice for the, um, you know, it's orange lounge radio with dark Sakura,
1301000	1303000	Robert, you know, and that whole thing.
1303000	1306000	So, uh, not that we don't appreciate what MIDI had did for us.
1306000	1307000	Oh yes.
1307000	1309000	And stream him on Spotify, support him please.
1309000	1313000	He's helped us out a bunch over the years, but it's just, we've had that theme song for
1313000	1314000	over 10 years.
1314000	1319000	It's time for, and I got to play a lot in logic, which was fun.
1319000	1322000	I, the more I use it, the more I really enjoy it.
1322000	1324000	So, so we'll see.
1324000	1325000	Yep.
1325000	1326000	But that's what I was doing.
1326000	1327000	All right.
1327000	1328000	How about you, Loki?
1328000	1330000	Um, I just played more Minecraft with the kids.
1330000	1336360	So on our realm that we have, um, I went to the nether and tried to find another fortress
1336360	1342360	and I was like, okay, well I'm going to make a, you know, a portal to this nether fortress.
1342360	1346200	And then of course, every block in the nether is eight blocks in the surface.
1346200	1353680	And like, I literally walked for like five, five days in there and I still wasn't close
1353680	1358200	to where I was supposed to the actual village that we're in.
1358200	1366000	So I just gave up and killed myself so I could spawn back at the village cause I'm like,
1366000	1367000	this is taking too long.
1367000	1370880	They're like, you're never going to get back, you're just gone forever.
1370880	1378400	So it's like, well, well, I'll find another one that's closer.
1378400	1380400	So I was doing that.
1380400	1381400	All right.
1381400	1382400	That it?
1382400	1383400	Oh, an ornament.
1384120	1387640	I'm upgrading a level 10 weapon, so I have to wait three days for that stupid thing.
1387640	1388640	Oh gosh.
1388640	1389640	Wow.
1389640	1390640	I never had, it ends tonight though.
1390640	1391640	So, okay.
1391640	1393880	I was like, I don't have enough material to do past like level four or five.
1393880	1394880	So wow.
1394880	1395880	Good for you.
1395880	1396880	Yeah.
1396880	1397880	Nice.
1397880	1398880	All right.
1398880	1399880	Don't take my land though.
1399880	1401000	They need to do something like, you're right.
1401000	1406200	There's like one person who has like easily half this town.
1406200	1412160	So like they need to do something where like if he or she is not regularly going to that
1412160	1415200	place, then they need like a deterioration mechanic.
1415200	1420680	Like how an ingress portals decay, how in Pokemon go gyms, the Pokemon get weaker as
1420680	1421680	time goes on.
1421680	1422680	Right.
1422680	1423680	Yeah.
1423680	1425880	Orna really needs something like that because otherwise it's just about who claimed it the
1425880	1428200	earliest and then leveled up to level two 50.
1428200	1429200	So nobody can take them out.
1429200	1432880	Oh, eventually I'll get to that point and then it's just going to be like, game on.
1432880	1433880	It's just gone.
1433880	1434880	Take it all over.
1434880	1435880	Yeah.
1435880	1436880	It's all mine.
1436880	1438080	Declaring open war on what's her name.
1438080	1440720	So I think Mike, the two, the shadow looks females.
1440720	1441720	I don't know.
1441720	1442720	I don't know who it does.
1442720	1443720	It doesn't matter.
1443720	1444720	Damn you.
1444720	1445720	Auntie St. Mike.
