start	end	text
9818	14604	My rule for these intros is not to bite off the lead story, but tonight is nearly all about the lead story.
14784	18709	The story of 23 and a half years that chronicles the evolution of a broadcast.
18729	21032	From PlayStation 2 to PlayStation 5 Pro.
21052	23255	From DDR Solo 2000 to DDR World Tour.
23455	25297	From Guitar Freaks to Fortnite Festival.
25317	28741	23 and a half Guinness record-setting years of gaming news.
28761	30844	Take a bow and a drink.
30864	34609	It's time for your hosts, Rob Roberts, Jamie Summers, and Loki to tell you all about it.
34629	37412	Starting right now on the show, where every gamer has a voice.
39653	42779	Hello, my friends out there on the internet.
42939	49130	Welcome back one more time to the show where every gamer has a voice.
49150	51334	It is Orange Lounge Radio.
51454	59629	We are live tonight, November the 23rd of 2025 with this, our final episode tonight, OLR The Final.
60090	62033	Been in the works since...
62013	80663	DarkSakura, DarkSakura,
80643	106144	and Jamie Summers.
108014	110979	In the flesh tonight, even.
113443	116928	Except that it's not coming through on the mic, unfortunately.
116948	119672	What would a final show be without some final... The fuck?
119753	120193	There we go.
120273	120554	Hey!
121595	123318	Well, an appropriate first word.
124059	127064	I'm on camera until I cry my makeup off.
127825	129187	I've also come prepared.
129788	134075	I have... You can't really see the etching, but it's an N7 etched glass.
134937	135237	Mm-hmm, mm-hmm.
135588	137390	and I have a beer.
137991	141835	And if you look behind me, I've trapped Midna in the office.
141855	145279	That's right, Midna the kitty joining us here tonight as well.
145660	147161	And also, damn it, Grandpa.
147582	155671	Yeah, so you mentioned that Matt from Horde House or Grandpa got you a present and I was sitting here going, he didn't send me anything.
156232	159235	Well, apparently something did just get delivered.
159315	163620	That's your cue, Alan Alchemy, because I don't even know what it is.
163988	185760	How much pumpkin spice is in it?
186415	188137	I'm okay.
188558	189059	I look a mess.
189239	189740	That's okay.
190060	190561	Hi, Alan.
190621	192604	My ever-loving husband is here for the last episode.
192964	194026	Hi, Alan.
194106	195387	I don't see flowers.
195407	196189	No, hold on.
196389	199373	It's a story in two parts.
199553	200474	Okay, a story in two parts.
200495	201796	You're not doing the podcast anymore.
202898	204059	Well, I'm doing the podcast tonight.
204260	205842	Well, I mean, after this.
205862	209227	So you're of no use to him, so he wants to kill you.
209747	211770	Are you... Grandpa!
212211	212711	Grandpa!
212972	213132	Grandpa!
214647	216610	I have diabetes.
217913	219656	Why would you send me?
222200	223022	You dumbass.
223182	226127	What kind of gift is this?
226207	228451	It's the gift you bring over to Jamie's house.
228732	236966	For the podcast listeners, this is a bunch of small trick-or-treat sale Snickers, Twix, Milky Way type of assorted thing here.
237848	239811	I'll be donating that to the homeless, I guess.
239791	242153	Oh, yay, flowers for my funeral.
242754	243354	Oh, I love it.
243414	244155	Thank you.
244595	246437	No, in all seriousness, I do appreciate it.
246657	252643	Also, I am in love with these lavender roses and I am going to press them.
252663	256166	Put the candy away from my equipment.
256186	261651	I will have to make sure that the lilies stay far away from Midna because every lily breed is poisonous to cats.
262752	263853	But she will not come up here.
264174	264814	Oh, yeah.
265335	269038	If those are lilies, Alan, keep them away from the cats.
272933	274274	They're too fat to get on the countertop.
274475	274875	That's true.
274915	275436	That is true.
275456	276397	They're not going to get on the countertop.
276417	281582	Yeah, but Midna, even though she goes, I'm old lady!
282343	282523	No.
282823	285105	She will get up and smell everything.
285125	288329	But right now, it is very full up on my desk.
288769	291111	Oh, they're so pretty.
291412	294955	This is the same color as the skirt I got married in.
296897	297037	Oh.
297898	301021	You know, all three of us got married during the course of this program.
301982	302603	Yes, we did.
302633	305581	Yeah, so, love that.
305601	309231	Also, it's kind of ace colors, a little bit, the white and the purple.
309251	310274	I was actually thinking that.
310294	314466	I was wondering if he planned that to Summer Guard when he did that, so...
314716	317779	But yeah, you're here in the flesh, DarkSakura.
317799	319641	It is great to see you tonight.
319881	325006	And thank you for beating your face for the show tonight.
325026	326588	She's full coverage tonight.
326908	333114	Hey, I ran the razor and trimmed my beard up, but I was threatening online.
333234	338099	I was like, ooh, should I go full 2007 Britney Spears and shave my beard off?
338119	342563	I'm already bald, so I can't shave my head, but maybe shave my beard off as like a...
342543	343505	Thanksgiving Crisis.
343525	344527	That's something I'm thinking about doing.
344848	346731	Loki, what do you say?
347112	354427	Let's turn No Shave November into, not to take away from any charity causes or anything that month is about, but let's do things different and make it Shave Our Beards November.
354507	355830	What do you think?
355850	356711	No.
356732	358014	I already shaved today.
